2021/06/21 11:14:10 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/site.conf:32
::1 - - [21/Jun/2021:10:10:21 +0300] "GET / HTTP/1.1" 200 3543 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chro
::1 - - [21/Jun/2021:10:10:21 +0300] "GET /icons/ubuntu-logo.png HTTP/1.1" 404 209 "http://localhost/" "Mozilla/5.0 (X11; Linux x86_64) AppleWe
::1 - - [21/Jun/2021:10:10:22 +0300] "GET /favicon.ico HTTP/1.1" 404 209 "http://localhost/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.3
::1 - - [21/Jun/2021:10:10:23 +0300] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/
::1 - - [21/Jun/2021:10:10:23 +0300] "GET /icons/ubuntu-logo.png HTTP/1.1" 404 209 "http://localhost/" "Mozilla/5.0 (X11; Linux x86_64) AppleWe
::1 - - [21/Jun/2021:10:10:23 +0300] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/
::1 - - [21/Jun/2021:10:10:23 +0300] "GET /icons/ubuntu-logo.png HTTP/1.1" 404 209 "http://localhost/" "Mozilla/5.0 (X11; Linux x86_64) AppleWe
::1 - - [21/Jun/2021:10:10:23 +0300] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/
::1 - - [21/Jun/2021:10:10:23 +0300] "GET /icons/ubuntu-logo.png HTTP/1.1" 404 209 "http://localhost/" "Mozilla/5.0 (X11; Linux x86_64) AppleWe
::1 - - [21/Jun/2021:10:10:24 +0300] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/
::1 - - [21/Jun/2021:10:10:24 +0300] "GET /icons/ubuntu-logo.png HTTP/1.1" 404 209 "http://localhost/" "Mozilla/5.0 (X11; Linux x86_64) AppleWe
::1 - - [21/Jun/2021:10:10:24 +0300] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/
::1 - - [21/Jun/2021:10:10:24 +0300] "GET /icons/ubuntu-logo.png HTTP/1.1" 404 209 "http://localhost/" "Mozilla/5.0 (X11; Linux x86_64) AppleWe
::1 - - [21/Jun/2021:10:10:24 +0300] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/
::1 - - [21/Jun/2021:10:10:24 +0300] "GET /icons/ubuntu-logo.png HTTP/1.1" 404 209 "http://localhost/" "Mozilla/5.0 (X11; Linux x86_64) AppleWe
::1 - - [21/Jun/2021:10:10:24 +0300] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/
